severity,plan,target,code,finding,run_dir
IMPOSSIBLE,aus,Ret_Rate,empty-grid,all 189 cells are null - nothing was derived,runs/sweep_20260727/aus_Ret_Rate_20260727_135538
IMPOSSIBLE,aus,Sep_Rate,no-rate-derived,the only populated cells are the 19 impossibility zeros written by the executor; every real age x service cell is null - no rate was derived,runs/sweep_20260727/aus_Sep_Rate_20260727_135638
IMPOSSIBLE,aus_ff,Age_Serv_Wage,money-too-low,"average salary: 39 cell(s) below $8,000 (min $3.00) - monthly dollars reported as annual, or a ratio whose denominator is not a headcount, lands here",runs/_batch_round3/aus_ff_Age_Serv_Wage_20260729_133901
IMPOSSIBLE,bos,Ret_Rate,empty-grid,all 189 cells are null - nothing was derived,runs/_batch_round3/bos_Ret_Rate_20260729_140654
IMPOSSIBLE,bos,Sep_Rate,no-rate-derived,the only populated cells are the 19 impossibility zeros written by the executor; every real age x service cell is null - no rate was derived,runs/sweep_20260727/bos_Sep_Rate_20260727_141453
IMPOSSIBLE,chi_gen,Avg_Mort,mortality-inverted,q(119) = 0.02 is BELOW q(20) = 0.0225,runs/_verify_s8/chi_gen_Avg_Mort_20260728_161350
IMPOSSIBLE,chi_gen,Ret_Rate,empty-grid,all 189 cells are null - nothing was derived,runs/sweep_20260727/chi_gen_Ret_Rate_20260727_143207
IMPOSSIBLE,chi_pol,Avg_Mort,mortality-inverted,q(79) = 0.1433 is BELOW q(35) = 0.48582,runs/sweep_20260727/chi_pol_Avg_Mort_20260727_150530
IMPOSSIBLE,clt_ff,Age_Serv_Wage,money-too-high,"average salary: 78 cell(s) above $500,000 (max $1,254,839) - salary TOTALS reported as averages land here",runs/_batch_round3/clt_ff_Age_Serv_Wage_20260729_155342
IMPOSSIBLE,clt_ff,Avg_Mort,mortality-inverted,q(119) = 0 is BELOW q(20) = 0.003,runs/_batch_round3/clt_ff_Avg_Mort_20260729_160147
IMPOSSIBLE,dal,Ret_Rate,empty-grid,all 189 cells are null - nothing was derived,runs/_batch_round3/dal_Ret_Rate_20260729_160431
IMPOSSIBLE,dc_pf,Ret_Rate,empty-grid,all 189 cells are null - nothing was derived,runs/_batch_round3/dc_pf_Ret_Rate_20260729_164452
IMPOSSIBLE,dc_pf,Sep_Rate,no-rate-derived,the only populated cells are the 19 impossibility zeros written by the executor; every real age x service cell is null - no rate was derived,runs/_batch_round3/dc_pf_Sep_Rate_20260729_164519
IMPOSSIBLE,dc_teach,Ret_Rate,empty-grid,all 189 cells are null - nothing was derived,runs/_batch_round3/dc_teach_Ret_Rate_20260729_171901
IMPOSSIBLE,dc_teach,Sep_Rate,no-rate-derived,the only populated cells are the 19 impossibility zeros written by the executor; every real age x service cell is null - no rate was derived,runs/_batch_round3/dc_teach_Sep_Rate_20260729_171928
IMPOSSIBLE,den,Age_Serv_Wage,money-too-low,"average salary: 60 cell(s) below $8,000 (min $1.00) - monthly dollars reported as annual, or a ratio whose denominator is not a headcount, lands here",runs/_batch_round3/den_Age_Serv_Wage_20260729_174834
IMPOSSIBLE,den_schools,Sep_Rate,no-rate-derived,the only populated cells are the 19 impossibility zeros written by the executor; every real age x service cell is null - no rate was derived,runs/_batch_round3/den_schools_Sep_Rate_20260729_182743
IMPOSSIBLE,hou_ff,Avg_Mort,empty-grid,all 100 cells are null - nothing was derived,runs/_batch_round3/hou_ff_Avg_Mort_20260729_184437
IMPOSSIBLE,hou_ff,Sep_Rate,no-rate-derived,the only populated cells are the 19 impossibility zeros written by the executor; every real age x service cell is null - no rate was derived,runs/_batch_round3/hou_ff_Sep_Rate_20260729_184414
IMPOSSIBLE,hou_gen,Ret_Rate,empty-grid,all 189 cells are null - nothing was derived,runs/_batch_round3/hou_gen_Ret_Rate_20260729_185726
IMPOSSIBLE,hou_pol,Age_Serv_Wage,money-too-low,"average salary: 45 cell(s) below $8,000 (min $1.00) - monthly dollars reported as annual, or a ratio whose denominator is not a headcount, lands here",runs/_batch_round3/hou_pol_Age_Serv_Wage_20260729_191935
IMPOSSIBLE,lax_ffpol,Ret_Rate,empty-grid,all 189 cells are null - nothing was derived,runs/_batch_round3/lax_ffpol_Ret_Rate_20260729_192744
IMPOSSIBLE,lax_ffpol,Sep_Rate,no-rate-derived,the only populated cells are the 19 impossibility zeros written by the executor; every real age x service cell is null - no rate was derived,runs/_batch_round3/lax_ffpol_Sep_Rate_20260729_192835
